Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P
2010;16.3;0;0;0.074;0;0;0;0;0;0.125;0.038;5;0.074;0;0.023;0;0.023;0;0.045;0;5;0.064;0;0.036;0;0.036;0;0.012;0;5;0.057;0;0.002;0;0.002;0;0.001;0;5
2011;14.4;0;0;0.072;0;0;0;0;0;0.122;0.037;5;0.072;0;0.024;0;0.024;0;0.044;0;5;0.062;0;0.037;0;0.037;0;0.012;0;5;0.059;0;0.001;0;0.001;0;0.001;0;5
2012;7.9;0;0;0.074;0;0;0;0;0;0.121;0.041;5;0.074;0;0.026;0;0.026;0;0.044;0;5;0.059;0;0.04;0;0.04;0;0.012;0;5;0.053;0;0.001;0;0.001;0;0.001;0;5
2013;4.8;0;0;0.068;0;0;0;0;0.001;0.122;0.04;5;0.068;0;0.026;0;0.026;0.001;0.044;0;5;0.056;0;0.042;0;0.042;0;0.012;0;5;0.054;0;0.001;0;0.001;0;0.001;0;5
2014;6.3;0;0;0.066;0;0;0;0;0.002;0.123;0.04;5;0.066;0;0.024;0;0.024;0.002;0.045;0;5;0.052;0;0.038;0;0.038;0.001;0.012;0;5;0.045;0;0.001;0;0.001;0;0.001;0;5
2015;8.3;0;0;0.059;0;0;0;0;0.004;0.124;0.039;5;0.059;0;0.023;0;0.023;0.003;0.047;0;5;0.046;0;0.037;0;0.037;0.001;0.013;0;5;0.042;0;0.001;0;0.001;0;0.001;0;5
2016;5.8;0;0;0.051;0;0;0;0;0.006;0.104;0.034;5;0.051;0;0.023;0;0.023;0.004;0.044;0;5;0.039;0;0.036;0;0.036;0.002;0.014;0;5;0.036;0;0.001;0;0.001;0;0.001;0;5
2017;5.9;0;0;0.054;0;0;0;0;0.008;0.103;0.035;5;0.054;0;0.024;0;0.024;0.007;0.043;0;5;0.041;0;0.037;0;0.037;0.003;0.013;0;5;0.039;0;0.001;0;0.001;0;0.001;0;5
2018;15.7;0;0;0.065;0;0;0;0;0.013;0.105;0.038;5;0.065;0;0.025;0;0.025;0.01;0.044;0;5;0.052;0;0.039;0;0.039;0.005;0.014;0;5;0.053;0;0.001;0;0.001;0;0.001;0;5
2019;21.6;0;0;0.087;0;0;0;0;0.018;0.096;0.042;5;0.087;0;0.022;0;0.022;0.027;0.052;0;5;0.073;0;0.033;0;0.033;0.007;0.014;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2020;21.5;0;0;0.087;0;0;0;0;0.026;0.094;0.043;5;0.087;0;0.022;0;0.022;0.036;0.049;0;5;0.073;0;0.033;0;0.033;0.02;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2021;21.5;0;0;0.087;0;0;0;0;0.027;0.094;0.044;5;0.087;0;0.022;0;0.022;0.023;0.049;0;5;0.073;0;0.033;0;0.033;0.011;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2022;24.4;0;0;0.087;0;0;0;0;0.028;0.094;0.044;5;0.087;0;0.022;0;0.022;0.023;0.049;0;5;0.073;0;0.033;0;0.033;0.011;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2023;30;0;0;0.263;0;0;0;0;0.03;0.094;0.044;5;0.263;0;0.022;0;0.022;0.025;0.049;0;5;0.244646538;0;0.033;0;0.033;0.012;0.013;0;5;0.244646538;0;0.001;0;0.001;0;0.001;0;5
2024;30;0;0;0.263;0;0;0;0;0.03;0.094;0.044;5;0.263;0;0.022;0;0.022;0.025;0.049;0;5;0.244646538;0;0.033;0;0.033;0.012;0.013;0;5;0.244646538;0;0.001;0;0.001;0;0.001;0;5
2025;32.9;0;0;0.087;0;0;0;0;0.031;0.094;0.045;5;0.087;0;0.022;0;0.022;0.026;0.049;0;5;0.073;0;0.033;0;0.033;0.012;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2026;35.7;0;0;0.087;0;0;0;0;0.029;0.094;0.044;5;0.087;0;0.022;0;0.022;0.024;0.049;0;5;0.073;0;0.033;0;0.033;0.011;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
