Naam;Waarde;Eenheid;Bron;Beschrijving
Aansluitbijdrage;4381.274644;Eur_asl;ACM Warmtebesluit 2020;Euro2023, excl BTW. maximale aansluitbijdrage voor nieuwe warmtenetaansluitingen
VastrechtMT;455.7056033;Eur_yr_asl;ACM Warmtebesluit 2020;Euro2023, excl BTW. maximaal vastrecht voor MT warmtelevering en tapwaterlevering
VastrechtLT;253.5381152;Eur_yr_asl;ACM Warmtebesluit 2020;Euro2023, excl BTW. maximaal vastrecht voor LT warmtelevering
VastrechtK;230.0039086;Eur_yr_asl;ACM Warmtebesluit 2020;Euro2023, excl BTW. maximaal vastrecht voor koudelevering
Meettarief;25.86203338;Eur_yr_asl;ACM Warmtebesluit 2020;Euro2023, excl BTW. maximaal meettarief
Woningen;1;ratio;-;Verhouding tussen elektriciteitsprijs en koudeprijs woningen. 1.00 = 100%. referentiesituatie = niet koelen of met elektrische ventilator
Utiliteit;1.56;ratio;-;Verhouding tussen elektriciteitsprijs en koudeprijs utiliteit. 1.56 = 64%. referentiesituatie = met LeWP koelen of elektrische ventilator
