Naam;Waarde;Eenheid;Bron;Beschrijving
Tarief_vastr;455.7056033;Eur_yr_asl;09-12-2019 Werkwaarde?;jaarlijkse vastrecht per aansluiting
Tarief_aansl;4381.274644;Eur_asl;09-12-2019 Werkwaarde?;eenmalige aansluitbijdrage
Marktprijs_H2;31.69135033;Eur_GJ;09-12-2019 Werkwaarde?;consumentenprijs voor H2-levering - afgeleid gasprijs 2030 incl belastingen
